GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,TotalVotes,BBB,Average_House_Price,Average_Income,Population_Density,Population_Increase
Nissewaard,G1930,K14,P28,46894,1606,237.8,25.8,1178,70
Krimpenerwaard,G1931,K15,P28,37253,1961,312.8,26.0,385,70
De Fryske Marren,G1940,K2,P21,34337,3845,268.8,23.3,147,-135
Gooise Meren,G1942,K10,P27,36001,722,510.2,36.4,1419,-105
Berg en Dal,G1945,K6,P25,23495,956,292.8,25.4,405,-187
Meierijstad,G1948,K18,P30,51725,3209,326.4,25.6,449,21
Waadhoeke,G1949,K2,P21,29616,2840,209.1,21.9,162,-80
Westerwolde,G1950,K1,P20,15934,2000,210.2,21.7,96,-132
Midden-Groningen,G1952,K1,P20,36402,2760,206.7,22.0,219,-202
Beekdaelen,G1954,K19,P31,22874,1149,248.9,26.1,459,-193
Montferland,G1955,K7,P25,24289,2494,277.4,23.3,344,-109
Altena,G1959,K17,P30,36402,1764,291.4,25.0,285,48
West Betuwe,G1960,K6,P25,34406,2201,341.3,26.5,241,44
Vijfheerenlanden,G1961,K8,P26,37032,1786,304.0,24.8,402,116
Hoeksche Waard,G1963,K14,P28,58356,2465,297.3,28.0,330,-118
Het Hogeland,G1966,K1,P20,31424,2878,188.8,22.1,101,-188
Westerkwartier,G1969,K1,P20,42079,4418,240.8,23.2,177,13
Noardeast-Frysl̢n,G1970,K2,P21,29122,2961,194.8,20.4,120,-84
Molenlanden,G1978,K14,P28,30024,1783,302.0,25.4,246,141
Eemsdelta,G1979,K1,P20,26604,2059,180.0,22.0,169,-233
Dijk en Waard,G1980,K11,P27,52658,2367,317.15,25.25,1417,81
Land van Cuijk,G1982,K18,P30,59599,4730,295.56,24.8,266,-103
Maashorst,G1991,K18,P30,36687,2091,314.8,25.05,425,-55
Voorne aan Zee,G1992,K14,P28,45369,1647,319.7,30.6,610,448
